,id,tweet,date,user_id,username,name,retweets_count,likes_count,reply_to,quote_url
520,1499088433293185033,"@TheBridge_Tech @PagePersonnel Mi hijo y yo nos apuntamos con muchos días de antelación Hoy a las 7 nos conectamos y aparece el mensaje ""Enlace caducado"": no nos hemos podido conectar Es una pena que, además de tener que recurrir a lo on-line, con la frialdad que supone, ocurran estos fallos técnicos Muy mal",2022-03-02,414032513,pickyuan,PICKY,0,0,"[{'screen_name': 'TheBridge_Tech', 'name': 'The Bridge', 'id': '1162694149956603904'}, {'screen_name': 'PagePersonnel', 'name': 'Page Personnel FR', 'id': '15998326'}]",
521,1498939760462630913,"¡Empezamos el 21 de marzo en #Sevilla! No te puedes perder este taller de empleabilidad con el que arrancamos 🚀 Entradas:  https://t.co/91M74qEah2 📅Hoy a las 19h 📍C/Isabela 1, Sevilla @ENCamaraSevilla  https://t.co/euWktCKqYp",2022-03-02,1162694149956603904,thebridge_tech,The Bridge,0,1,[],
522,1498249085337444355,"Toma contacto con el #marketingdigital de la mano de @TheBridge_Tech. Aprende a usar el contenido, el email, las redes sociales y la publicidad digital en este taller impartido por @jpereznavarrete📝  📅Jueves 3 de marzo, 18-19h (online)  #EventoDeLaSemana  #masterclass #MyNews",2022-02-28,91372157,mynews_es,MyNews,0,2,[],
523,1498212250481483778,Gracias @insidezeusdata y @vicencf por la jornada formativa ¡Fue toda una experiencia para nuestros alumnos de #Valencia! 🤗,2022-02-28,1162694149956603904,thebridge_tech,The Bridge,0,2,[],https://twitter.com/insidezeusdata/status/1497198545333624832
524,1497198545333624832,Nuestro PMO @vicencf da una clase a los alumnos de @TheBridge_Tech  en nuestras instalaciones 🚀  #bigdata #data #education  https://t.co/jiskmovU0m,2022-02-25,763323065199628288,insidezeusdata,Zeus,1,4,[],
525,1497165125752664112,"¡#Datascientist mirad esto! ⚽🏃 Cómo @LaLiga utiliza el dato y la inteligencia artificial (IA) para predecir cuáles son las mejores fechas para celebrar partidos, monitorizar la venta de entradas... ¡Interesante conocer su filial @LaLigaTech!  https://t.co/HrEwHLEivh #datascience",2022-02-25,1162694149956603904,thebridge_tech,The Bridge,0,1,[],
526,1497118969236377601,¡Gracias a vosotros! Los alumnos se llevaron grandes consejos y una visión del mercado laboral en profesiones #tech desde la perspectiva de #seleccion y #recruitment 🤩 @PagePersonnelES @michaelpage_es,2022-02-25,1162694149956603904,thebridge_tech,The Bridge,0,1,[],https://twitter.com/michaelpage_es/status/1496865773582696449
527,1496865773582696449,"Hace unos días, nuestras compañeras Inés Bdiri y Alba Calvo estuvieron en la Aceleradora de Talento digital @TheBridge_Tech para contar a sus alumnos las ""best practices"" en la búsqueda de empleo y ¡fue un éxito! 👏  ¡Gracias a todos los asistentes!🙌  https://t.co/JLvRI7z6Ti",2022-02-24,198936952,michaelpage_es,Michael Page España,0,0,[],
528,1496140777529004033,"Si veis estos carteles por Sevilla, SÍ, SOMOS NOSOTROS! Aterrizamos en marzo con los #bootcamps en #DataScience y #DesarrolloWebFullStack ¡Pide información sin compromiso! En colaboración con @ENCamaraSevilla y @camaradesevilla 👍  https://t.co/V8mmlFAlEc  https://t.co/JUOBlK4F7V",2022-02-22,1162694149956603904,thebridge_tech,The Bridge,2,2,[],
529,1496021941483802630,📢¡Última semana! Aún puedes solicitar una de las becas que otorgamos junto a @IndraCompany para la realización de un #bootcamp de Desarrollo Web Full-stack en @TheBridge_Tech 💻  💻10 #becas dirigidas a personas con #discapacidad con formaciones #STEM 📲  https://t.co/ubL3Gyg3Gl  https://t.co/yHUvz4zCXG,2022-02-22,589903453,funiversia,Fundación Universia,1,6,[],
530,1495710690950193155,"¡Nuevos eventos para febrero y marzo! Talleres sobre #IA, #marketingdigital #empleabilidad, #ciber, #datascience ¡No te los pierdas e inscríbete! ⬇️  https://t.co/bSsTjrDH8l  https://t.co/4b1jxJmMLO",2022-02-21,1162694149956603904,thebridge_tech,The Bridge,0,0,[],
531,1495055146769915908,Yo he caído en el bootcamp de Data science de @TheBridge_Tech en madrid. Si valor agregado consiste en presionarte para que aprendas por tu cuenta. Si no aprendes es tú culpa porque su método es muy sólido. Aunque se queje el 50% de la clase.,2022-02-19,295720842,soyelsimo,Pep Iberico,1,0,[],https://twitter.com/iamdoomling/status/1494845403182735360
532,1494627201794428930,¿Aún no has solicitado tu beca para el #bootcamp de Desarrollo Web Full-stack en @TheBridge_Tech? Si tienes #discapacidad y una formación universitaria #STEM puedes recibir una de las 10 becas de @IndraCompany y @FUniversia 📲¡Inscríbete ya!  https://t.co/wYjp06QE9c  https://t.co/bLDY1DVOKa,2022-02-18,73355170,indracompany,Indra,5,8,[],
533,1493639257587601413,Presentando nuestra 2ª edición del Programa de Mentoring de forma presencial en @TheBridge_Tech. Encantadas con la asistencia y el apoyo de nuestros mentores y mentees 🙂🙂 Muchas gracias!! #womenincyber #W4C  https://t.co/JcPYHB5Aze,2022-02-15,1319233294198857728,women4cyber_sp,Women4Cyber_Spain,1,8,[],
